Noname	@rico 你好，能请问下你之前是从哪爬的词库吗？
QQ小冰	叮——请查收猜明星题库增补包@我说“猜明星”，一眼认出自家爱豆的会是你吗
矩阵先生	@晨星  你分词插件怎么配置的
fancy	@CoderCat 你再试试标准化呢
小子呐喊	@默 你就用了默认参数啥子都不调？
fancy	@觚竹 你发得截图不是说不用sklearn得归一化，自己写吗
沉香	@吴茂贵 你好，有没有本书数据可供下载的地址？
A love. ー份噯	你要用models做目标检测吗？@∫卌蒢汜憶尐囡⊙
坚韧自强	你们学的什么课@深夜与猫
科学史杨丹丹	所以你是哪个专业@人文学院 韩东阳 [表情]
科学史杨丹丹	为什么感觉你也是师姐[表情]@人文学院 王晓萱
武植石文俊	@地质地球所-王锴 你们地质的应该也会经常出差，去山里应该会碰到吧
微生物研究所 刘兰功	@心理所 刘亚男 你是从心里所拉东西？
心理所 刘亚男	@微生物研究所 刘兰功 你想找从心理所的吗
地理所—宫殿清	@生地所～wangzf 敢问你叫啥？
未来—Jelly	@广州华植 你们应该又自己的群吧
数学与系统科学研究院林海鹏	你是账号登录还是怎么弄呀？@物构所-叶黄黄
信工所-黑哥	@宁波所-李望 你在三楼吗
心理所--韩文浩	@工程科学学院-王迪昌 这位同学你知道吗在奥运村这边班车在哪里停
地质地球所-王锴	你要做什么？[表情] @高能所 em
计算所-丁汉星	@男子说 老哥你有啥事吗
